Object_Name,X,Y,Z,Volume
Cube,2.6478760272181097,12.219276301152423,17.91882601985954,125.0
Cube,2.6398195135714455,22.067385528570917,16.318230874848634,125.0
Cube,32.450318226347676,21.97437299643849,14.81529487361654,125.0
Cube,2.6356746526272916,12.044837969434099,6.955035063335098,125.0
Cube,28.460431502314805,11.911829859613938,12.579686068500683,3375.0
Sphere,3.1400642563361725,12.108701205497214,12.44170555434799,113.09733552923254
Sphere,17.859928160076382,7.738676680210422,7.8662290519140425,113.09733552923254
Sphere,13.124869749494767,16.557912346534856,12.454782156262679,2144.660584850632
Pyramid,25.96020108353373,21.497333831822566,12.487188196144157,53.33333333333333
Pyramid,2.64671957332835,6.893151324445496,12.577963605693206,83.33333333333331
Pyramid,2.6548832471665387,17.336875917504447,11.989819762059742,83.33333333333331
