Object_Name,X,Y,Z,Volume
Cube,24.633002084917326,14.567601797139275,29.861954174975388,125.0
Cube,21.77775489696787,9.119301912550325,34.3603950757024,125.0
Cube,35.275814634207975,19.05061251911365,25.022818511966864,125.0
Cube,10.279420933516931,16.45777526430066,31.966602911529982,125.0
Cube,30.5,13.99927270926303,14.796319663144898,3375.0
Sphere,10.845717780865524,4.422565881984677,10.512258290465676,113.09733552923254
Sphere,35.0,10.738941960134344,25.436193471058477,113.09733552923254
Sphere,14.944950529063068,14.077392402319008,14.380550263632209,2144.660584850632
Pyramid,11.313723427222854,3.8971404668780334,24.384636344843628,53.33333333333333
Pyramid,29.169183722287492,3.9964905744883623,28.28521818598141,83.33333333333331
Pyramid,14.25924025895122,8.54540182663144,29.884697221092097,83.33333333333331
