Object_Name,X,Y,Z,Volume
Cube,6.85228915843177,17.9067147104112,19.682889351310074,125.0
Cube,35.5,2.5,12.251333827260948,125.0
Cube,25.35739056461109,5.056632086236514,12.223208553245442,125.0
Cube,13.51308150368295,17.61074884136862,27.418699779328147,125.0
Cube,14.417802518382603,7.5,17.507075682124473,3375.0
Sphere,17.39519255511405,8.088729836631817,27.989393611926488,113.09733552923254
Sphere,5.41817273803928,18.1409967009634,27.274725922152427,113.09733552923254
Sphere,30.0,8.172900918148741,22.818196398539566,2144.660584850632
Pyramid,30.831265412129614,19.082426451501696,17.428345935090654,53.33333333333333
Pyramid,35.495170448035225,18.663656238297385,22.42835154491398,83.33333333333331
Pyramid,4.273757136713982,3.007574732750686,18.661509311522003,83.33333333333331
