Object_Name,X,Y,Z,Volume
Cube,30.08315824366903,20.88000535474855,8.01620266637602,125.0
Cube,11.112716434557678,18.226710060719476,14.72121734842645,125.0
Cube,35.5,16.37979021912532,8.275409026636432,125.0
Cube,7.315126012071391,20.10048706959142,9.073985517328005,125.0
Cube,12.483536845543338,7.5,19.60100269957741,3375.0
Sphere,26.079483584131452,3.0,11.935075129927382,113.09733552923254
Sphere,23.237002591798486,14.252140492910971,9.81658349461847,113.09733552923254
Sphere,30.0,15.326221061698348,18.976955922731452,2144.660584850632
Pyramid,2.0,19.985464074640298,16.06281900064384,53.33333333333333
Pyramid,2.5,3.555268435361983,17.94576135567155,83.33333333333331
Pyramid,16.89342458946369,20.732954913208538,16.89079234536271,83.33333333333331
