Object_Name,X,Y,Z,Volume
Cube,31.263199468722924,14.741097280441394,15.640429140701944,125.0
Cube,30.21247411449479,2.878296410113805,31.227864608451917,125.0
Cube,10.772649813697317,18.027478231011553,10.808881654518151,125.0
Cube,12.739948916953834,10.618853010489227,10.282867097679471,125.0
Cube,20.74531632737326,20.9,14.244872415908425,3375.0
Sphere,31.233248744981335,25.4,24.383303788762845,113.09733552923254
Sphere,19.898254840949615,3.0,34.04439516467835,113.09733552923254
Sphere,25.836126313266732,17.14268303119259,30.0,2144.660584850632
Pyramid,20.8756443300363,2.0,19.472408780599395,53.33333333333333
Pyramid,27.508487947798045,4.823941512735329,17.2000032668416,83.33333333333331
Pyramid,14.275206254364935,13.696003898353027,30.254918158336203,83.33333333333331
